Hour,Sampled_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Dynamic_T_max
21,-0.07070707070707061,12.0,27.0,21.124047,24.084998646449893
21,-0.050505050505050386,12.0,27.0,21.124047,24.060682647863675
21,-0.030303030303030276,12.0,27.0,21.124047,24.03639119849151
21,-0.010101010101010055,12.0,27.0,21.124047,24.012124273548736
21,0.010101010101010166,5.3200323,27.0,22.390632,23.9878818482757
21,0.030303030303030498,5.3200323,27.0,22.390632,23.96366389793776
21,0.05050505050505061,5.3200323,27.0,22.390632,23.939470397825243
21,0.07070707070707072,5.3200323,27.0,22.390632,23.91530132325342
21,0.09090909090909105,5.3200323,27.0,22.390632,23.891156649562483
21,0.11111111111111116,5.3200323,27.0,22.390632,23.867036352117523
21,0.1313131313131315,5.3200323,27.0,22.390632,23.842940406308497
21,0.1515151515151516,5.3200323,27.0,22.390632,23.818868787550215
21,0.1717171717171717,5.3200323,27.0,22.390632,23.794821471282305
21,0.19191919191919204,5.3200323,27.0,22.390632,23.77079843296919
21,0.21212121212121215,5.3200323,27.0,22.390632,23.746799648100062
21,0.2323232323232325,5.3200323,27.0,22.390632,23.722825092188867
21,0.2525252525252526,5.3200323,27.0,22.390632,23.69887474077426
21,0.27272727272727293,5.3200323,27.0,22.390632,23.674948569419605
21,0.29292929292929304,5.3200323,27.0,22.390632,23.651046553712927
21,0.31313131313131315,5.3200323,27.0,22.390632,23.6271686692669
21,0.3333333333333335,5.3200323,27.0,22.390632,23.60331489171882
21,0.3535353535353536,5.3200323,27.0,22.390632,23.57948519673058
21,0.3737373737373739,5.3200323,27.0,22.390632,23.55567955998864
21,0.39393939393939403,5.3200323,27.0,22.390632,23.531897957204016
21,0.41414141414141437,3.412084,27.0,22.752397,23.508140364112236
21,0.4343434343434345,3.412084,27.0,22.752397,23.484406756473337
21,0.4545454545454546,1.6271851,27.0,23.090831,23.46069711007181
21,0.4747474747474749,0.0,27.0,23.39936,23.43701140071661
21,0.49494949494949503,0.0,27.0,23.39936,23.41334960424111
21,0.5151515151515154,0.050887504,27.0,23.389712,23.389711696503078
21,0.5353535353535355,0.17542793,27.0,23.366098,23.366097653384664
21,0.5555555555555556,0.29984262,27.0,23.342507,23.34250745079236
21,0.5757575757575759,0.4241317,27.0,23.318941,23.318941064656986
21,0.595959595959596,0.5482953,27.0,23.295398,23.295398470933655
21,0.6161616161616164,0.67233355,27.0,23.27188,23.271879645601768
21,0.6363636363636365,0.79624656,27.0,23.248385,23.248384564664967
21,0.6565656565656568,0.92003448,27.0,23.224913,23.224913204151125
21,0.6767676767676769,1.0436974,27.0,23.201466,23.201465540112316
21,0.696969696969697,1.1672355,27.0,23.178042,23.178041548624787
21,0.7171717171717173,1.2906489,27.0,23.154641,23.15464120578895
21,0.7373737373737375,1.4139377,27.0,23.131264,23.13126448772933
21,0.7575757575757578,1.537102,27.0,23.107911,23.10791137059457
21,0.7777777777777779,1.6601419,27.0,23.084582,23.08458183055739
21,0.7979797979797982,1.7830576,27.0,23.061276,23.06127584381456
21,0.8181818181818183,0.0,27.0,23.037993,23.037993386586884
21,0.8383838383838385,0.0,27.0,23.014734,23.014734435119177
21,0.8585858585858588,0.0,27.0,22.991499,22.991498965680236
21,0.8787878787878789,0.0,27.0,22.968287,22.968286954562814
21,0.8989898989898992,0.0,27.0,22.945098,22.945098378083596
21,0.9191919191919193,0.0,27.0,22.921933,22.92193321258319
21,0.9393939393939394,0.0,27.0,22.898791,22.898791434426077
21,0.9595959595959598,0.0,27.0,22.875673,22.8756730200006
21,0.9797979797979799,0.0,27.0,22.852578,22.852577945718956
21,1.0,0.0,27.0,22.829506,22.829506188017135
22,-1.0,12.0,27.5,21.420756,25.230506313024577
22,-0.9797979797979798,12.0,27.5,21.420756,25.205033820173618
22,-0.9595959595959596,12.0,27.5,21.420756,25.179587044122947
22,-0.9393939393939394,12.0,27.5,21.420756,25.154165958909115
22,-0.9191919191919192,12.0,27.5,21.420756,25.12877053859488
22,-0.898989898989899,12.0,27.5,21.420756,25.1034007572692
22,-0.8787878787878788,12.0,27.5,21.420756,25.078056589047165
22,-0.8585858585858586,12.0,27.5,21.420756,25.05273800807003
